,IMDB_AUTO_pca_30,Actor_None_pca_30,IMDB_CCA_pca_30,Citeseer_None_pca_64TRI,Cora_CCA_0,IMDB_None_pca_32TRI,Cora_None_pca_64zscore,Citeseer_CLL_pca_30,cit_cl_linear_pca_10,Citeseer_None_pca_64CONV,ACM_CLNL_pca_30_5_pairs_0,IMDB_CLNL_pca_300,DBLP_CCA_pca_30,IMDB_AUTO_pca_30_5_pairs_0,ACM_CLL_pca_300,Actor_AUTO_pca_30,Cora_AUTO_0,ACM_None_pca_32TRI,Cora_None_pca_64TRI,ACM_CLNL_pca_30,DBLP_CLNL_pca_30,Cora_CCA_pca_30_5_pairs_0,Cora_CLNL_pca_64_5_pairs_0,DBLP_AUTO_pca_30,ratio,IMDB_CCA_pca_300,Cora_CLL_0,Actor_CLNL_pca_30,ACM_AUTO_pca_30,ACM_CCA_pca_30,DBLP_None_pca_32TRI,Cora_None_CONV,DBLP_CCA_pca_30_5_pairs_0,IMDB_None_pca_32zscore,ACM_CLL_pca_30,DBLP_CLL_pca_30,Cora_None_TRI,Cora_CLNL_0,ACM_CCA_pca_300,DBLP_CLNL_pca_30_5_pairs_0,ACM_CCA_pca_30_5_pairs_0,output_5_pairs_runs.log,ACM_AUTO_pca_300,DBLP_CLNL__5_pairs_0,Cora_AUTO_pca_30_5_pairs_0,ACM_AUTO_pca_30_5_pairs_0,DBLP_CLL_pca_30_5_pairs_0,Cora_None_pca_64CONV,Cora_None_zscore,Citeseer_CLNL_pca_30,Actor_CCA_pca_30,IMDB_CCA_pca_30_5_pairs_0,DBLP_AUTO_pca_30_5_pairs_0,Citeseer_None_pca_64zscore,Actor_CLL_pca_30,ACM_None_pca_32zscore,IMDB_CLL_pca_30,IMDB_CLNL_pca_30_5_pairs_0,DBLP_None_pca_32zscore,IMDB_CLL_pca_300,IMDB_CLL_pca_30_5_pairs_0,ACM_CLL_pca_30_5_pairs_0,Citeseer_AUTO_pca_30,IMDB_AUTO_pca_300,Cora_CLL_pca_30_5_pairs_0,Citeseer_CCA_pca_300,IMDB_CLNL_pca_30,Citeseer_None_pca_30
0,,,,,,"[0.5951696377228292, 0.5966072455434157, 0.5968947671075331]",,,,,,,,,,,,"[0.9324834749763928, 0.9324834749763928, 0.9287063267233239]",,,,,,,1.0,,,,,,"[0.9428922321154437, 0.9435062941357077, 0.9435062941357077]",,,"[0.6040828062104658, 0.5983323749281196, 0.5980448533640023]",,,,,,,,,,,,,,,,,,,,,,"[0.9305949008498584, 0.9320113314447592, 0.9343720491029273]",,,"[0.9441203561559718, 0.9444273871661037, 0.9428922321154437]",,,,,,,,,
1,,,,,,"[0.5989074180563543, 0.5983323749281196, 0.5983323749281196]",,,,,,,,,,,,"[0.9254013220018886, 0.9258734655335222, 0.9254013220018886]",,,,,,,0.9,,,,,,"[0.9438133251458397, 0.9431992631255757, 0.9447344181762358]",,,"[0.6043703277745831, 0.597757331799885, 0.5997699827487062]",,,,,,,,,,,,,,,,,,,,,,"[0.9296506137865911, 0.9287063267233239, 0.9291784702549575]",,,"[0.9462695732268959, 0.947190666257292, 0.94688363524716]",,,,,,,,,
2,,,,,,"[0.6032202415181138, 0.6066705002875216, 0.6046578493387004]",,,,,,,,,,,,"[0.9258734655335222, 0.9225684608120869, 0.9244570349386213]",,,,,,,0.8,,,,,,"[0.9413570770647836, 0.9416641080749155, 0.9407430150445195]",,,"[0.6026451983898793, 0.6000575043128235, 0.5983323749281196]",,,,,,,,,,,,,,,,,,,,,,"[0.9282341831916903, 0.927289896128423, 0.9268177525967894]",,,"[0.9435062941357077, 0.9438133251458397, 0.9456555112066318]",,,,,,,,,
3,,,,,,"[0.5960322024151812, 0.5974698102357677, 0.5957446808510638]",,,,,,,,,,,,"[0.9192634560906515, 0.9145420207743153, 0.9216241737488197]",,,,,,,0.7,,,,,,"[0.9398219220141234, 0.9398219220141234, 0.9373656739330672]",,,"[0.5899942495687176, 0.5885566417481312, 0.5874065554916619]",,,,,,,,,,,,,,,,,,,,,,"[0.9244570349386213, 0.9249291784702549, 0.9249291784702549]",,,"[0.9428922321154437, 0.9447344181762358, 0.9431992631255757]",,,,,,,,,
4,,,,,,"[0.5839562967222541, 0.5833812535940196, 0.5845313398504888]",,,,,,,,,,,,"[0.8932955618508026, 0.9098205854579793, 0.8857412653446648]",,,,,,,0.6,,,,,,"[0.9407430150445195, 0.9398219220141234, 0.9385937979735953]",,,"[0.5770557791834388, 0.5816561242093157, 0.5787809085681426]",,,,,,,,,,,,,,,,,,,,,,"[0.9249291784702549, 0.9263456090651558, 0.9277620396600567]",,,"[0.9407430150445195, 0.9419711390850476, 0.9416641080749155]",,,,,,,,,
5,,,,,,"[0.5690051753881541, 0.5747556066705003, 0.5701552616446234]",,,,,,,,,,,,"[0.9126534466477809, 0.9187913125590179, 0.9206798866855525]",,,,,,,0.5,,,,,,"[0.9358305188824071, 0.9370586429229352, 0.9385937979735953]",,,"[0.5629672225416906, 0.5609545715928694, 0.569867740080506]",,,,,,,,,,,,,,,,,,,,,,"[0.9216241737488197, 0.9216241737488197, 0.9187913125590179]",,,"[0.9367516119128032, 0.9392078599938594, 0.9379797359533313]",,,,,,,,,
6,,,,,,"[0.5589419206440484, 0.5554916618746406, 0.5560667050028753]",,,,,,,,,,,,"[0.9197355996222851, 0.9131255901794145, 0.9173748819641171]",,,,,,,0.4,,,,,,"[0.9315320847405588, 0.9333742708013509, 0.9309180227202948]",,,"[0.551178838412881, 0.5500287521564118, 0.5523289246693502]",,,,,,,,,,,,,,,,,,,,,,"[0.8984891406987724, 0.9145420207743153, 0.9183191690273843]",,,"[0.9389008289837274, 0.9392078599938594, 0.9379797359533313]",,,,,,,,,
7,,,,,,"[0.5299022426682001, 0.5327774583093732, 0.5293271995399655]",,,,,,,,,,,,"[0.9202077431539188, 0.8847969782813976, 0.8342776203966006]",,,,,,,0.3,,,,,,"[0.922014123426466, 0.92109303039607, 0.9201719373656739]",,,"[0.542840713053479, 0.5500287521564118, 0.5460034502587694]",,,,,,,,,,,,,,,,,,,,,,"[0.8305004721435316, 0.8838526912181303, 0.9036827195467422]",,,"[0.9330672397912189, 0.9309180227202948, 0.9312250537304267]",,,,,,,,,
8,,,,,,"[0.527889591719379, 0.5083381253594019, 0.5324899367452559]",,,,,,,,,,,,"[0.8895184135977338, 0.9079320113314447, 0.9145420207743153]",,,,,,,0.2,,,,,,"[0.9014430457476205, 0.8996008596868283, 0.8916180534233957]",,,"[0.5103507763082231, 0.5106382978723404, 0.5077630822311673]",,,,,,,,,,,,,,,,,,,,,,"[0.7053824362606232, 0.7960339943342776, 0.7252124645892352]",,,"[0.92109303039607, 0.9223211544365981, 0.9198649063555419]",,,,,,,,,
9,,,,,,"[0.4445083381253594, 0.4447958596894767, 0.4427832087406556]",,,,,,,,,,,,"[0.7974504249291785, 0.7101038715769594, 0.9008498583569405]",,,,,,,0.1,,,,,,"[0.8799508750383789, 0.8870125882714154, 0.8863985262511513]",,,"[0.484186313973548, 0.47469810235767684, 0.4629097182288672]",,,,,,,,,,,,,,,,,,,,,,"[0.7828139754485364, 0.6175637393767706, 0.5491029272898962]",,,"[0.9017500767577525, 0.9035922628185447, 0.9011360147374885]",,,,,,,,,
10,,,,,,"[0.4088556641748131, 0.4094307073030477, 0.40454284071305346]",,,,,,,,,,,,"[0.8408876298394712, 0.8229461756373938, 0.7922568460812087]",,,,,,,0.02,,,,,,,,,"[0.4160437032777458, 0.40598044853364, 0.40626797009775734]",,,,,,,,,,,,,,,,,,,,,,"[0.5679886685552408, 0.6340887629839471, 0.4409820585457979]",,,"[0.6245010746085354, 0.644458090267117, 0.6195885784464231]",,,,,,,,,
11,,,,,,"[0.3680276020701553, 0.36831512363427255, 0.36831512363427255]",,,,,,,,,,,,"[0.613314447592068, 0.6449480642115203, 0.6572237960339944]",,,,,,,0.01,,,,,,,,,"[0.36572742955721677, 0.3680276020701553, 0.36745255894192064]",,,,,,,,,,,,,,,,,,,,,,"[0.48677998111425874, 0.4660056657223796, 0.6487252124645893]",,,"[0.41940435984034385, 0.41418483266809947, 0.4105004605465152]",,,,,,,,,
12,,,,,,"[0.3651523864289822, 0.3651523864289822, 0.3651523864289822]",,,,,,,,,,,,"[0.5509915014164306, 0.6397544853635505, 0.5717658168083097]",,,,,,,0.0,,,,,,,,,"[0.36745255894192064, 0.36745255894192064, 0.3760782058654399]",,,,,,,,,,,,,,,,,,,,,,"[0.6029272898961284, 0.6383380547686497, 0.559017941454202]",,,"[0.2744857230580289, 0.27387166103776484, 0.27202947497697266]",,,,,,,,,
