,ACM_CLL_pca_30,ACM_CLNL_pca_30,ACM_CCA_pca_30,ratio,ACM_AUTO_pca_30
0,0.9150141643059492,0.931067044381492,0.9296506137865912,1.0,0.9277620396600568
1,0.9296506137865912,0.8942398489140698,0.9202077431539188,0.9,0.921152030217186
2,0.921152030217186,0.9183191690273844,0.9169027384324836,0.8,0.9183191690273844
3,0.9192634560906516,0.9249291784702548,0.9220963172804532,0.7,0.9197355996222852
4,0.9197355996222852,0.9216241737488196,0.8640226628895185,0.6,0.9192634560906516
5,0.9102927289896128,0.918791312559018,0.9183191690273844,0.5,0.9093484419263456
6,0.906515580736544,0.9107648725212464,0.8578847969782813,0.4,0.6718602455146364
7,0.7804532577903682,0.8881019830028328,0.8418319169027384,0.3,0.9178470254957508
8,0.7941454202077431,0.8248347497639282,0.3904627006610009,0.2,0.9074598677998112
9,0.7436260623229461,0.7823418319169028,0.3942398489140699,0.1,0.6803588290840415
10,0.6260623229461756,0.5354107648725213,0.6067044381491974,0.02,0.5675165250236072
11,0.3196411709159584,0.657695939565628,0.3470254957507082,0.01,0.3432483474976393
12,0.6444759206798867,0.4225684608120869,0.3196411709159584,0.0,0.3432483474976393
