,DBLP_CCA_pca_30,Actor_AUTO_pca_30,ACM_CLL_pca_30,Actor_CLNL_pca_30,DBLP_CLL_pca_30,Actor_CLL_pca_30,Citeseer_CLL_pca_30,ACM_CLNL_pca_30,ACM_CCA_pca_30,Citeseer_CLNL_pca_30,Actor_CCA_pca_30,ratio,Citeseer_AUTO_pca_30,Actor_None_pca_30,Citeseer_None_pca_30,ACM_AUTO_pca_30,DBLP_AUTO_pca_30,DBLP_CLNL_pca_30
0,0.935216456862143,,0.9150141643059491,,0.9349094258520111,,0.681,0.931067044381492,0.9296506137865911,0.682,,1.0,0.683,,0.68,0.9277620396600567,0.934602394841879,0.935216456862143
1,0.9367516119128032,,0.9296506137865911,,0.9217070924163341,,0.689,0.8942398489140698,0.9202077431539188,0.683,,0.9,0.68,,0.681,0.9211520302171861,0.9315320847405588,0.9312250537304267
2,0.9247774025176543,,0.9211520302171861,,0.9149524101934295,,0.699,0.9183191690273843,0.9169027384324835,0.693,,0.8,0.669,,0.682,0.9183191690273843,0.9232422474669941,0.9198649063555419
3,0.9229352164568622,,0.9192634560906515,,0.8986797666564323,,0.69,0.9249291784702549,0.9220963172804533,0.68,,0.7,0.673,,0.684,0.9197355996222851,0.9201719373656739,0.9201719373656739
4,0.9192508443352778,,0.9197355996222851,,0.9023641387780166,,0.681,0.9216241737488197,0.8640226628895185,0.679,,0.6,0.67,,0.688,0.9192634560906515,0.9198649063555419,0.9177156892846178
5,0.9253914645379183,,0.9102927289896129,,0.9042063248388087,,0.683,0.9187913125590179,0.9183191690273843,0.643,,0.5,0.686,,0.676,0.9093484419263456,0.9253914645379183,0.921400061406202
6,0.9269266195885785,,0.9065155807365439,,0.9060485108996008,,0.688,0.9107648725212465,0.8578847969782813,0.648,,0.4,0.67,,0.662,0.6718602455146364,0.9376727049431992,0.9229352164568622
7,0.9238563094872582,,0.7804532577903682,,0.8707399447344182,,0.69,0.8881019830028328,0.8418319169027384,0.664,,0.3,0.689,,0.67,0.9178470254957507,0.9358305188824071,0.9247774025176543
8,0.9134172551427694,,0.7941454202077431,,0.907583665950261,,0.663,0.8248347497639282,0.3904627006610009,0.639,,0.2,0.643,,0.689,0.9074598677998111,0.907583665950261,0.9306109917101627
9,0.9137242861529015,,0.7436260623229461,,0.9238563094872582,,0.688,0.7823418319169028,0.3942398489140699,0.708,,0.1,0.346,,0.679,0.6803588290840415,0.7881486030089039,0.8821000921093031
10,0.7952103162419404,,0.6260623229461756,,0.8004298434141849,,0.359,0.5354107648725213,0.6067044381491974,0.449,,0.02,0.18,,0.192,0.5675165250236072,0.2987411728584587,0.6558182376420019
11,0.43229966226588884,,0.31964117091595845,,0.6524408965305496,,0.231,0.657695939565628,0.34702549575070823,0.16,,0.01,0.162,,0.169,0.3432483474976393,0.2118513969910961,0.539146453791833
12,0.3515505066011667,,0.6444759206798867,,0.42953638317470066,,0.077,0.4225684608120869,0.31964117091595845,0.169,,0.0,0.077,,0.169,0.3432483474976393,0.31102241326373964,0.31501381639545595
