,ACM_CCA_pca_30_5_pairs_0,IMDB_CCA_pca_30,IMDB_CLL_pca_300,ACM_CLL_pca_30_5_pairs_0,ACM_CLNL_pca_30,IMDB_CLNL_pca_30,ACM_CCA_pca_30,DBLP_CCA_pca_30,IMDB_CLNL_pca_300,DBLP_CLNL_pca_30,Actor_None_pca_30,IMDB_AUTO_pca_30,DBLP_CLL_pca_30,DBLP_CCA_pca_30_5_pairs_0,Citeseer_CLL_pca_30,Actor_CCA_pca_30,Actor_CLL_pca_30,ACM_CCA_pca_300,ACM_CLL_pca_300,ACM_AUTO_pca_30,Citeseer_CLNL_pca_30,Actor_CLNL_pca_30,output_5_pairs_runs.log,IMDB_CLL_pca_30,ACM_CLNL_pca_30_5_pairs_0,DBLP_AUTO_pca_30_5_pairs_0,IMDB_AUTO_pca_30_5_pairs_0,IMDB_CCA_pca_300,Citeseer_None_pca_30,ACM_CLL_pca_30,IMDB_CCA_pca_30_5_pairs_0,Citeseer_AUTO_pca_30,DBLP_AUTO_pca_30,ratio,ACM_AUTO_pca_300,ACM_AUTO_pca_30_5_pairs_0,DBLP_CLL_pca_30_5_pairs_0,IMDB_AUTO_pca_300,IMDB_CLNL_pca_30_5_pairs_0,IMDB_CLL_pca_30_5_pairs_0,Actor_AUTO_pca_30
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.5692926969522715, 0.5678550891316849, 0.5678550891316849, 0.5701552616446234, 0.5704427832087406]",,,1.0,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.5552041403105233, 0.5577918343875791, 0.5546290971822887, 0.5554916618746406, 0.5557791834387579]",,,0.9,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.5497412305922944, 0.5500287521564118, 0.547441058079356, 0.5497412305922944, 0.5506037952846463]",,,0.8,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.5287521564117309, 0.5227142035652674, 0.5287521564117309, 0.5235767682576193, 0.5244393329499712]",,,0.7,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.5071880391029328, 0.5080506037952847, 0.5069005175388154, 0.5115008625646924, 0.511213341000575]",,,0.6,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.5054629097182288, 0.5094882116158712, 0.5097757331799885, 0.5089131684876366, 0.5083381253594019]",,,0.5,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.5043128234617597, 0.5060379528464635, 0.5014376078205866, 0.5051753881541116, 0.5051753881541116]",,,0.4,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.45313398504887864, 0.45227142035652673, 0.4499712478435883, 0.4528464634847614, 0.44680851063829785]",,,0.3,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.45715928694652097, 0.45600920069005174, 0.45600920069005174, 0.4568717653824037, 0.45600920069005174]",,,0.2,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.4249568717653824, 0.4249568717653824, 0.4318573893041978, 0.4298447383553767, 0.42955721679125936]",,,0.1,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.31684876365727427, 0.32518688901667625, 0.32058654399079933, 0.31598619896492236, 0.32518688901667625]",,,0.02,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.3697527314548591, 0.3691776883266245, 0.3688901667625072, 0.3691776883266245, 0.3697527314548591]",,,0.01,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.3697527314548591, 0.3691776883266245, 0.3697527314548591, 0.36946520989074183, 0.3688901667625072]",,,0.0,,,,,,,
