,IMDB_CLL_pca_30,Citeseer_None_pca_64zscore,DBLP_AUTO_pca_30,IMDB_AUTO_pca_30,DBLP_CCA_pca_30_5_pairs_0,ACM_CLL_pca_30,ACM_CCA_pca_300,ACM_CLNL_pca_30,IMDB_CLNL_pca_300,Cora_None_zscore,Cora_CCA_0,ratio,Cora_AUTO_pca_30_5_pairs_0,output_5_pairs_runs.log,DBLP_None_pca_32TRI,Citeseer_None_pca_64TRI,Cora_AUTO_0,Citeseer_AUTO_pca_30,ACM_CLNL_pca_30_5_pairs_0,IMDB_AUTO_pca_30_5_pairs_0,Cora_None_pca_64CONV,ACM_None_pca_32zscore,Cora_None_TRI,Citeseer_None_pca_64CONV,DBLP_CLL_pca_30,ACM_CLL_pca_300,ACM_AUTO_pca_30,IMDB_CCA_pca_30,Citeseer_CLL_pca_30,ACM_AUTO_pca_30_5_pairs_0,IMDB_CCA_pca_30_5_pairs_0,IMDB_CLNL_pca_30_5_pairs_0,Cora_CLL_pca_30_5_pairs_0,Cora_CCA_pca_30_5_pairs_0,ACM_AUTO_pca_300,DBLP_CLNL__5_pairs_0,Actor_AUTO_pca_30,IMDB_CLL_pca_300,IMDB_AUTO_pca_300,DBLP_CCA_pca_30,Actor_CCA_pca_30,Cora_CLNL_0,ACM_None_pca_32TRI,Citeseer_CCA_pca_300,ACM_CCA_pca_30_5_pairs_0,Actor_CLL_pca_30,DBLP_CLNL_pca_30,DBLP_None_pca_32zscore,Citeseer_None_pca_30,Cora_None_pca_64zscore,Actor_None_pca_30,Cora_None_CONV,Cora_None_pca_64TRI,Citeseer_CLNL_pca_30,IMDB_CCA_pca_300,ACM_CLL_pca_30_5_pairs_0,DBLP_CLNL_pca_30_5_pairs_0,Cora_CLL_0,IMDB_CLL_pca_30_5_pairs_0,cit_cl_linear_pca_10,ACM_CCA_pca_30,DBLP_AUTO_pca_30_5_pairs_0,Actor_CLNL_pca_30,DBLP_CLL_pca_30_5_pairs_0,IMDB_CLNL_pca_30,Cora_CLNL_pca_64_5_pairs_0
0,,"[0.649, 0.673, 0.642]",,,,,,,,,,1.0,,,,"[0.671, 0.674, 0.597]",,"[0.637, 0.665, 0.662]",,,,,,"[0.672, 0.632, 0.631]",,,,,"[0.629, 0.662, 0.656]",,,,,,,,,,,,,,,"[0.688, 0.668, 0.628]",,,,,"[0.647, 0.63, 0.679]",,,,,"[0.671, 0.654, 0.651]",,,,,,,,,,,,
1,,"[0.655, 0.636, 0.696]",,,,,,,,,,0.9,,,,"[0.663, 0.65, 0.648]",,"[0.655, 0.626, 0.687]",,,,,,"[0.678, 0.677, 0.652]",,,,,"[0.653, 0.685, 0.634]",,,,,,,,,,,,,,,"[0.656, 0.646, 0.665]",,,,,"[0.654, 0.644, 0.626]",,,,,"[0.663, 0.645, 0.642]",,,,,,,,,,,,
2,,"[0.64, 0.676, 0.655]",,,,,,,,,,0.8,,,,"[0.658, 0.61, 0.637]",,"[0.594, 0.651, 0.647]",,,,,,"[0.664, 0.651, 0.677]",,,,,"[0.68, 0.672, 0.653]",,,,,,,,,,,,,,,"[0.643, 0.687, 0.666]",,,,,"[0.661, 0.673, 0.667]",,,,,"[0.674, 0.684, 0.66]",,,,,,,,,,,,
3,,"[0.644, 0.684, 0.63]",,,,,,,,,,0.7,,,,"[0.642, 0.63, 0.646]",,"[0.616, 0.653, 0.614]",,,,,,"[0.684, 0.648, 0.672]",,,,,"[0.666, 0.649, 0.656]",,,,,,,,,,,,,,,"[0.67, 0.66, 0.635]",,,,,"[0.666, 0.654, 0.657]",,,,,"[0.657, 0.659, 0.663]",,,,,,,,,,,,
4,,"[0.662, 0.636, 0.597]",,,,,,,,,,0.6,,,,"[0.581, 0.602, 0.643]",,"[0.638, 0.642, 0.611]",,,,,,"[0.661, 0.694, 0.672]",,,,,"[0.642, 0.658, 0.664]",,,,,,,,,,,,,,,"[0.65, 0.631, 0.658]",,,,,"[0.686, 0.665, 0.653]",,,,,"[0.676, 0.663, 0.658]",,,,,,,,,,,,
5,,"[0.636, 0.656, 0.649]",,,,,,,,,,0.5,,,,"[0.613, 0.623, 0.628]",,"[0.626, 0.603, 0.619]",,,,,,"[0.661, 0.655, 0.646]",,,,,"[0.654, 0.667, 0.663]",,,,,,,,,,,,,,,"[0.641, 0.64, 0.65]",,,,,"[0.687, 0.676, 0.662]",,,,,"[0.635, 0.645, 0.638]",,,,,,,,,,,,
6,,"[0.636, 0.654, 0.613]",,,,,,,,,,0.4,,,,"[0.622, 0.61, 0.652]",,"[0.617, 0.602, 0.599]",,,,,,"[0.66, 0.638, 0.623]",,,,,"[0.65, 0.659, 0.649]",,,,,,,,,,,,,,,"[0.628, 0.621, 0.631]",,,,,"[0.673, 0.677, 0.682]",,,,,"[0.62, 0.65, 0.629]",,,,,,,,,,,,
7,,"[0.646, 0.591, 0.603]",,,,,,,,,,0.3,,,,"[0.616, 0.619, 0.612]",,"[0.591, 0.596, 0.59]",,,,,,"[0.624, 0.618, 0.639]",,,,,"[0.659, 0.623, 0.625]",,,,,,,,,,,,,,,"[0.613, 0.619, 0.597]",,,,,"[0.66, 0.643, 0.651]",,,,,"[0.631, 0.634, 0.634]",,,,,,,,,,,,
8,,"[0.605, 0.603, 0.598]",,,,,,,,,,0.2,,,,"[0.61, 0.612, 0.662]",,"[0.505, 0.586, 0.536]",,,,,,"[0.632, 0.649, 0.651]",,,,,"[0.627, 0.643, 0.621]",,,,,,,,,,,,,,,"[0.615, 0.592, 0.609]",,,,,"[0.612, 0.609, 0.621]",,,,,"[0.645, 0.657, 0.64]",,,,,,,,,,,,
9,,"[0.552, 0.569, 0.572]",,,,,,,,,,0.1,,,,"[0.605, 0.607, 0.522]",,"[0.276, 0.259, 0.378]",,,,,,"[0.581, 0.591, 0.6]",,,,,"[0.585, 0.588, 0.654]",,,,,,,,,,,,,,,"[0.586, 0.602, 0.63]",,,,,"[0.57, 0.579, 0.582]",,,,,"[0.635, 0.637, 0.669]",,,,,,,,,,,,
10,,"[0.231, 0.274, 0.285]",,,,,,,,,,0.02,,,,"[0.331, 0.343, 0.458]",,"[0.231, 0.231, 0.235]",,,,,,"[0.557, 0.231, 0.231]",,,,,"[0.558, 0.182, 0.481]",,,,,,,,,,,,,,,"[0.169, 0.194, 0.196]",,,,,"[0.284, 0.182, 0.315]",,,,,"[0.347, 0.363, 0.37]",,,,,,,,,,,,
11,,"[0.267, 0.271, 0.241]",,,,,,,,,,0.01,,,,"[0.231, 0.231, 0.259]",,"[0.231, 0.231, 0.315]",,,,,,"[0.236, 0.231, 0.231]",,,,,"[0.231, 0.364, 0.231]",,,,,,,,,,,,,,,"[0.286, 0.193, 0.236]",,,,,"[0.231, 0.231, 0.231]",,,,,"[0.512, 0.231, 0.467]",,,,,,,,,,,,
12,,"[0.19, 0.388, 0.192]",,,,,,,,,,0.0,,,,"[0.169, 0.24, 0.169]",,"[0.231, 0.231, 0.181]",,,,,,"[0.077, 0.077, 0.169]",,,,,"[0.251, 0.231, 0.254]",,,,,,,,,,,,,,,"[0.343, 0.265, 0.231]",,,,,"[0.272, 0.279, 0.233]",,,,,"[0.294, 0.335, 0.231]",,,,,,,,,,,,
