,ratio,cca,auto,cl,cln
0,1.0,0.7543 ,0.7558 ,0.7540 ,0.7568 
1,0.9,0.7385 ,0.7327 ,0.7347 ,0.7403 
2,0.8,0.7127 ,0.7098 ,0.7313 ,0.7279 
3,0.7,0.6983 ,0.6856 ,0.7071 ,0.7094 
4,0.6,0.6855 ,0.6654 ,0.6826 ,0.7186 
5,0.5,0.6735 ,0.6621 ,0.6792 ,0.7104 
6,0.4,0.6587 ,0.6516 ,0.6497 ,0.6805 
7,0.3,0.6657 ,0.6279 ,0.6268 ,0.6711 
8,0.2,0.6839 ,0.6104 ,0.6478 ,0.6262 
9,0.1,0.6523 ,0.5850 ,0.6434 ,0.6393 
10,0.02,0.4449 ,0.4112 ,0.4613 ,0.6054 
11,0.01,0.3243 ,0.3378 ,0.4700 ,nan 
12,0.0,0.3415 ,0.3193 ,0.3655 ,nan 
