,ratio,DBLP_CLL_pca_30_5_pairs_0,DBLP_CLNL_pca_30_5_pairs_0,DBLP_AUTO_pca_30_5_pairs_0,DBLP_CCA_pca_30_5_pairs_0
0,1.0,0.936 ± 0.001,0.936 ± 0.001,0.936 ± 0.001,0.936 ± 0.001
1,0.9,0.925 ± 0.001,0.932 ± 0.001,0.933 ± 0.001,0.928 ± 0.000
2,0.8,0.926 ± 0.000,0.924 ± 0.002,0.922 ± 0.002,0.914 ± 0.002
3,0.7,0.888 ± 0.002,0.913 ± 0.002,0.923 ± 0.002,0.901 ± 0.003
4,0.6,0.888 ± 0.004,0.919 ± 0.001,0.932 ± 0.003,0.903 ± 0.002
5,0.5,0.903 ± 0.001,0.924 ± 0.001,0.929 ± 0.001,0.917 ± 0.003
6,0.4,0.897 ± 0.002,0.920 ± 0.002,0.929 ± 0.001,0.894 ± 0.004
7,0.3,0.909 ± 0.002,0.908 ± 0.002,0.926 ± 0.001,0.924 ± 0.002
8,0.2,0.914 ± 0.002,0.925 ± 0.003,0.926 ± 0.002,0.913 ± 0.001
9,0.1,0.915 ± 0.001,0.911 ± 0.003,0.812 ± 0.008,0.917 ± 0.005
10,0.02,0.597 ± 0.003,0.651 ± 0.023,0.358 ± 0.029,0.802 ± 0.003
11,0.01,0.483 ± 0.004,nan ± nan,0.425 ± 0.006,0.473 ± 0.005
12,0.0,0.335 ± 0.004,nan ± nan,0.296 ± 0.001,0.474 ± 0.006
