,DBLP_AUTO_pca_30,ACM_CLNL_pca_30_5_pairs_0,Actor_CCA_pca_30,ACM_CLL_pca_30,DBLP_CLNL__5_pairs_0,Citeseer_CLL_pca_30,ACM_CCA_pca_30,ACM_CLNL_pca_30,IMDB_AUTO_pca_300,IMDB_CLL_pca_30_5_pairs_0,IMDB_AUTO_pca_30,output_5_pairs_runs.log,IMDB_CLNL_pca_300,Actor_AUTO_pca_30,ACM_CCA_pca_30_5_pairs_0,Cora_CLL_pca_30_5_pairs_0,Cora_CCA_pca_30_5_pairs_0,IMDB_CCA_pca_300,DBLP_CLL_pca_30_5_pairs_0,IMDB_CCA_pca_30,ACM_AUTO_pca_30_5_pairs_0,DBLP_CLL_pca_30,ACM_CLL_pca_30_5_pairs_0,DBLP_CCA_pca_30_5_pairs_0,Cora_CLNL_pca_64_5_pairs_0,ACM_CLL_pca_300,Citeseer_CLNL_pca_30,IMDB_CLL_pca_30,IMDB_AUTO_pca_30_5_pairs_0,Actor_None_pca_30,Citeseer_AUTO_pca_30,ACM_AUTO_pca_300,DBLP_CCA_pca_30,IMDB_CLL_pca_300,DBLP_AUTO_pca_30_5_pairs_0,IMDB_CLNL_pca_30_5_pairs_0,Cora_AUTO_pca_30_5_pairs_0,DBLP_CLNL_pca_30,ACM_AUTO_pca_30,ACM_CCA_pca_300,Actor_CLNL_pca_30,ratio,DBLP_CLNL_pca_30_5_pairs_0,Citeseer_None_pca_30,Actor_CLL_pca_30,IMDB_CLNL_pca_30,cit_cl_linear_pca_10,IMDB_CCA_pca_30_5_pairs_0
0,,,,,,,,,,,,,,,,"[0.812, 0.812, 0.812, 0.812, 0.813]","[0.811, 0.812, 0.814, 0.818, 0.815]",,,,,,,,"[0.812, 0.81, 0.811, 0.812, 0.814]",,,,,,,,,,,,"[0.813, 0.812, 0.81, 0.815, 0.816]",,,,,1.0,,,,,,
1,,,,,,,,,,,,,,,,"[0.813, 0.813, 0.812, 0.814, 0.815]","[0.82, 0.816, 0.81, 0.813, 0.813]",,,,,,,,"[0.818, 0.815, 0.814, 0.818, 0.816]",,,,,,,,,,,,"[0.813, 0.818, 0.811, 0.81, 0.814]",,,,,0.9,,,,,,
2,,,,,,,,,,,,,,,,"[0.818, 0.821, 0.821, 0.818, 0.817]","[0.814, 0.815, 0.808, 0.814, 0.812]",,,,,,,,"[0.815, 0.815, 0.815, 0.81, 0.812]",,,,,,,,,,,,"[0.807, 0.806, 0.807, 0.8, 0.803]",,,,,0.8,,,,,,
3,,,,,,,,,,,,,,,,"[0.827, 0.828, 0.83, 0.827, 0.83]","[0.822, 0.821, 0.82, 0.828, 0.822]",,,,,,,,"[0.809, 0.813, 0.812, 0.815, 0.811]",,,,,,,,,,,,"[0.797, 0.796, 0.804, 0.798, 0.795]",,,,,0.7,,,,,,
4,,,,,,,,,,,,,,,,"[0.815, 0.813, 0.812, 0.812, 0.814]","[0.821, 0.824, 0.819, 0.822, 0.817]",,,,,,,,"[0.82, 0.822, 0.822, 0.82, 0.819]",,,,,,,,,,,,"[0.789, 0.788, 0.791, 0.79, 0.786]",,,,,0.6,,,,,,
5,,,,,,,,,,,,,,,,"[0.798, 0.797, 0.801, 0.801, 0.798]","[0.82, 0.818, 0.817, 0.817, 0.815]",,,,,,,,"[0.812, 0.809, 0.81, 0.811, 0.811]",,,,,,,,,,,,"[0.782, 0.783, 0.78, 0.784, 0.782]",,,,,0.5,,,,,,
6,,,,,,,,,,,,,,,,"[0.79, 0.793, 0.793, 0.792, 0.801]","[0.808, 0.807, 0.806, 0.805, 0.811]",,,,,,,,"[0.813, 0.812, 0.813, 0.811, 0.811]",,,,,,,,,,,,"[0.725, 0.73, 0.729, 0.724, 0.727]",,,,,0.4,,,,,,
7,,,,,,,,,,,,,,,,"[0.78, 0.782, 0.776, 0.777, 0.774]","[0.775, 0.774, 0.774, 0.769, 0.772]",,,,,,,,"[0.799, 0.8, 0.8, 0.8, 0.802]",,,,,,,,,,,,"[0.66, 0.664, 0.655, 0.66, 0.659]",,,,,0.3,,,,,,
8,,,,,,,,,,,,,,,,"[0.755, 0.759, 0.752, 0.76, 0.763]","[0.753, 0.761, 0.752, 0.766, 0.766]",,,,,,,,"[0.791, 0.787, 0.792, 0.79, 0.79]",,,,,,,,,,,,"[0.538, 0.515, 0.526, 0.553, 0.539]",,,,,0.2,,,,,,
9,,,,,,,,,,,,,,,,"[0.643, 0.647, 0.647, 0.647, 0.648]","[0.645, 0.654, 0.62, 0.622, 0.644]",,,,,,,,"[0.666, 0.666, 0.669, 0.663, 0.667]",,,,,,,,,,,,"[0.319, 0.152, 0.152, 0.152, 0.152]",,,,,0.1,,,,,,
10,,,,,,,,,,,,,,,,"[0.543, 0.552, 0.551, 0.548, 0.554]","[0.319, 0.319, 0.319, 0.319, 0.319]",,,,,,,,"[0.517, 0.503, 0.517, 0.514, 0.54]",,,,,,,,,,,,"[0.32, 0.149, 0.319, 0.319, 0.149]",,,,,0.02,,,,,,
11,,,,,,,,,,,,,,,,"[0.185, 0.319, 0.187, 0.185, 0.186]","[0.319, 0.319, 0.319, 0.319, 0.319]",,,,,,,,"[0.278, 0.274, 0.276, 0.281, 0.281]",,,,,,,,,,,,"[0.149, 0.144, 0.173, 0.144, 0.144]",,,,,0.01,,,,,,
12,,,,,,,,,,,,,,,,"[0.321, 0.236, 0.234, 0.319, 0.319]","[0.144, 0.103, 0.319, 0.144, 0.15]",,,,,,,,"[0.232, 0.262, 0.236, 0.236, 0.238]",,,,,,,,,,,,"[0.149, 0.149, 0.103, 0.103, 0.103]",,,,,0.0,,,,,,
